ticker,MSE,R2,N
PEP,0.06449488233578889,-0.06221470648981975,60.0
GD,0.07328431138276431,-0.029657486882107786,57.0
DIS,0.08005275519935776,-0.024851636267126942,52.0
DUK,0.08205832408170793,-0.08677640540282128,55.0
XOM,0.08236567737713597,-0.139070863756257,58.0
UTX,0.08276057935150513,-0.14587793804091387,55.0
PG,0.09277327151054002,-0.02267541060197953,62.0
MA,0.09561652997964246,-0.050756296261640355,55.0
KO,0.09893657384897028,-0.07883728029169812,60.0
CMCSA,0.11110194134931263,0.014591257752024633,57.0
HON,0.1128818577092869,-0.0559974059679873,49.0
V,0.11424508702348513,-0.04830003477812905,55.0
TOT,0.11647149227398519,0.034644840016173184,55.0
UPS,0.11718655035953687,0.01336670704039078,53.0
PM,0.1233296702092329,-0.04088063048470891,60.0
PPL,0.1261657753305375,-0.054176551674088635,61.0
TM,0.12904131389800896,-0.14171112238568706,56.0
CHL,0.13086058746882642,-0.14672634389017136,54.0
BCH,0.13198166386391857,-0.11199869256597283,47.0
SPLP,0.13461505532465928,0.026244020190086093,55.0
MSFT,0.1382983315159701,-0.06952589434833789,60.0
JNJ,0.1400752539450036,-0.01712820121900127,54.0
MMM,0.14193760396771282,-0.03082511197187121,70.0
NVS,0.14895327757840007,-0.003151796842556731,59.0
DHR,0.1490248478096626,-0.0795239669195682,63.0
GE,0.15762860100356155,-0.1072871350783724,55.0
BRK-A,0.15988174180387413,-0.0029523921332261782,51.0
TSM,0.16439631207375882,0.02425740760279338,53.0
FB,0.16514708857560112,-0.08029314412336941,52.0
SO,0.1714122973155057,-0.07231716574684421,55.0
CVX,0.17201759784429083,-0.0005109461669283721,45.0
CSCO,0.17237201232290025,-0.06075359263433833,51.0
MRK,0.17253646916227836,-0.0536571787991722,35.0
CODI,0.1725772143033388,-0.043969937964577266,56.0
WMT,0.17368186414621448,-0.026439020261224355,47.0
VZ,0.1751484193535411,-0.004343330604160478,63.0
BP,0.17819400483372053,-0.002262159059083668,59.0
UNH,0.17917707251527987,-0.13590404553505575,50.0
AEP,0.18196719367581674,-0.10304427428907914,57.0
PCG,0.18442468797050718,-0.05526177506236141,60.0
HD,0.18966186403518084,-0.006796178415882537,53.0
SLB,0.1899489794555496,-0.12895967181642076,60.0
MCD,0.1958786612065504,-0.035269952626087564,48.0
GOOG,0.19610258040981632,-0.028949414886112468,59.0
BUD,0.19952691603728615,-0.024603979807990672,58.0
D,0.1996016932111716,0.019793313916550703,61.0
SRE,0.20668459447478782,-0.037325792296959426,53.0
AMZN,0.20752333097136424,-0.00020911461773076567,58.0
ABB,0.21134457397090597,0.0024974978968633765,50.0
BSAC,0.21477581467365203,-0.033507674802732534,47.0
NEE,0.21605504607970993,-0.01721893581930045,48.0
JPM,0.21734318580445888,-0.03414596671652803,61.0
SNY,0.2180951109161558,-0.04862552244819507,53.0
INTC,0.2208547057826494,0.025969496146018067,40.0
LMT,0.22317640304948883,-0.0176219379563729,67.0
RDS-B,0.22397354013177911,0.026414879367703037,49.0
ABBV,0.2275178635564183,-0.012097995627331493,56.0
EXC,0.2331794365493127,-0.011323636911332757,52.0
UL,0.23340631516638893,0.0064760434205941575,46.0
PCLN,0.23479376506630828,-0.04482638810520734,62.0
MDT,0.23706909748068639,-0.03550423819656001,51.0
PFE,0.23968123749944714,-0.017258372230553265,49.0
T,0.2553652478032122,0.0032513711722398364,53.0
CELG,0.25700105855185035,-0.012047106705156185,51.0
NGG,0.27222115988902285,-0.08492138557538298,52.0
SNP,0.27528844910391476,0.000985932295246239,50.0
ORCL,0.27792452329517453,-0.029333254385385255,54.0
IEP,0.2985583390155288,-0.04285914298776161,51.0
AAPL,0.30209167350066707,-0.24936025337596512,52.0
C,0.30583230682100304,-0.04594388010777428,52.0
PTR,0.3218984708491013,-0.015262114757861989,66.0
UN,0.32346915997349074,0.025759619912219645,48.0
BA,0.3332663746610331,-0.0939413133674678,59.0
HSBC,0.33389684732677144,-0.1795713138637478,58.0
CAT,0.43089239727833856,-0.05324024047408815,52.0
HRG,0.4399235074157726,-0.022994906555759975,57.0
BHP,0.4466024845496066,-0.012306357761352249,50.0
CHTR,0.4557825819201293,-0.060486076680247525,51.0
BAC,0.485252109745042,-0.004803994028831804,58.0
MO,0.5410609016995557,-0.0875443216352807,46.0
AMGN,0.6238070542112191,0.017788142723818012,49.0
PICO,0.642921804000042,-0.0021694388518702645,47.0
REX,0.7700097443882925,0.0382526816391251,64.0
GMRE,0.8147575284185367,-0.015616718373470118,53.0
WFC,0.84082388753926,0.003819976537525971,56.0
BBL,0.8551922831827182,-0.012658364150632151,60.0
BABA,1.0378730057224193,-0.15947165278977637,64.0
AGFS,9.03908499743077,0.03285396376367378,43.0
